"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvcinut  ","S",01/11/2010 11:52,1,1,1         ,1         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {WNW}",0.0042,<1> [SCC] ,0.0193,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.1085,<0>  ,7.71,<0>  ,
"cbvcinut  ","S",01/11/2010 11:53,1,1,1         ,2         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {WNW}",0.0042,<0>  ,0.0137,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.1022,<0>  ,9.41,<0>  ,
"cbvcinut  ","S",02/09/2010 10:39,1,1,1         ,1         ,"{WS0} {COC} {WH0} {TSE} {PNP} {NE}",0.0112,<1> [SCC] ,0.0371,<0>  ,0.0018,<0>  ,0.1155,<0>  ,0.1173,<0>  ,7.55,<0>  ,
"cbvcinut  ","S",02/09/2010 10:40,1,1,1         ,2         ,"{WS0} {COC} {WH0} {TSE} {PNP} {NE}",0.0128,<0>  ,0.0341,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.1111,<0>  ,4.9,<0>  ,
"cbvcinut  ","S",03/09/2010 10:17,1,1,1         ,1         ,"{WS0} {CCL} {WH0} {TSE} {PNP} {W}",0.0040,<0>  ,0.028,<0>  ,0.0016,<0>  ,"",<-4> [SCB] ,0.0014,<-4> [SBL] ,13.53,<0>  ,
"cbvcinut  ","S",03/09/2010 10:18,1,1,1         ,2         ,"{WS0} {CCL} {WH0} {TSE} {PNP} {W}",0.0040,<0>  ,0.0142,<0>  ,0.0016,<0>  ,"",<-4> [SCB] ,0.0014,<-4> [SBL] ,17.24,<0>  ,
"cbvcinut  ","S",04/06/2010 9:42,1,1,1         ,1         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {SW}",0.0068,<0>  ,0.0195,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.1413,<0>  ,4.91,<0>  ,
"cbvcinut  ","S",04/06/2010 9:43,1,1,1         ,2         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {SW}",0.0051,<0>  ,0.0108,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.1629,<0>  ,5.16,<0>  ,
"cbvcinut  ","S",05/05/2010 7:45,1,1,1         ,1         ,"{WS0} {WH0} {TSE} {PNP} {NE} {CCL}",0.0040,<0>  ,0.0321,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0174,<0>  ,3.57,<0>  ,
"cbvcinut  ","S",05/05/2010 7:46,1,1,1         ,2         ,"{WS0} {WH0} {TSE} {PNP} {NE} {CCL}",0.0040,<0>  ,0.0244,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0158,<0>  ,1.43,<0>  ,
"cbvcinut  ","S",06/08/2010 9:58,1,1,1         ,1         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {N}",0.0038,<0>  ,0.03,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0014,<-4> [SBL] ,9.93,<0>  ,
"cbvcinut  ","S",06/08/2010 9:59,1,1,1         ,2         ,"{WS1} {CCL} {WH1} {TSE} {PNP} {N}",0.0038,<0>  ,0.0201,<0>  ,7.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0014,<-4> [SBL] ,9.78,<0>  ,
