"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvshnut  ","P",01/21/2004 16:18,1,1,1         ,1         ,"",0.0088,<4>  ,0.0222,<4>  ,0.0046,<4>  ,0.5342,<4>  C                   ,0.5388,<4>  ,1.4,<4>  ,
"cbvshnut  ","P",01/21/2004 16:18,1,1,1         ,2         ,"",0.0071,<4>  ,0.026,<4>  ,0.0049,<4>  ,0.5675,<4>  C                   ,0.5724,<4>  ,1.7,<4>  ,
"cbvshnut  ","P",02/16/2004 16:10,1,1,1         ,1         ,"",0.0038,<4>  ,0.0118,<4>  ,0.0034,<4>  ,0.473,<4>  C                   ,0.4764,<4>  ,1.1,<4>  ,
"cbvshnut  ","P",02/16/2004 16:10,1,1,1         ,2         ,"",0.0031,<4>  ,0.0054,<4>  B                   ,0.0037,<4>  ,0.4837,<4>  C                   ,0.4874,<4>  ,1.2,<4>  ,
"cbvshnut  ","P",03/17/2004 15:02,1,1,1         ,1         ,"",0.0084,<4>  ,0.0054,<4>  B                   ,0.0014,<4>  ,0.3969,<4>  C                   ,0.3983,<4>  ,1.8,<4>  ,
"cbvshnut  ","P",03/17/2004 15:02,1,1,1         ,2         ,"",0.0091,<4>  ,0.0054,<4>  B                   ,0.0012,<4>  ,0.423,<4>  C                   ,0.4242,<4>  ,1.3,<4>  ,
"cbvshnut  ","P",04/27/2004 12:26,1,1,1         ,1         ,"",0.0053,<4>  ,0.0054,<4>  B                   ,0.0015,<4>  ,0.2498,<4>  C                   ,0.2513,<4>  ,16.1,<4>  ,
"cbvshnut  ","P",04/27/2004 12:26,1,1,1         ,2         ,"",0.0053,<4>  ,0.0054,<4>  B                   ,8.0E-4,<4>  ,0.257,<4>  C                   ,0.2578,<4>  ,14.2,<4>  ,
"cbvshnut  ","P",05/11/2004 9:07,1,1,1         ,1         ,"",0.0074,<4>  ,0.0302,<4>  ,7.0E-4,<4>  ,0.0897,<4>  C                   ,0.0904,<4>  ,7.2,<4>  ,
"cbvshnut  ","P",05/11/2004 9:07,1,1,1         ,2         ,"",0.0065,<4>  ,0.0288,<4>  ,8.0E-4,<4>  ,0.0774,<4>  C                   ,0.0782,<4>  ,15.0,<4>  ,
"cbvshnut  ","P",06/15/2004 14:21,1,1,1         ,1         ,"",0.0181,<4>  ,0.0095,<4>  ,0.0017,<4>  ,0.1766,<4>  C                   ,0.1783,<4>  ,12.5,<4>  ,
"cbvshnut  ","P",06/15/2004 14:21,1,1,1         ,2         ,"",0.0217,<4>  ,0.0391,<4>  ,0.0012,<4>  ,0.1999,<4>  C                   ,0.2011,<4>  ,11.3,<4>  ,
"cbvshnut  ","P",07/15/2004 14:35,1,1,1         ,1         ,"",0.0263,<4>  ,0.046,<4>  ,0.0022,<4>  ,0.1361,<4>  C                   ,0.1383,<4>  ,10.6,<4>  ,
"cbvshnut  ","P",07/15/2004 14:35,1,1,1         ,2         ,"",0.0249,<4>  ,0.0495,<4>  ,0.0017,<4>  ,0.1152,<4>  C                   ,0.1169,<4>  ,10.2,<4>  ,
"cbvshnut  ","P",08/12/2004 13:14,1,1,1         ,1         ,"",0.0178,<4>  ,0.0555,<4>  ,0.0029,<4>  ,0.1067,<4>  C                   ,0.1096,<4>  ,34.1,<4>  ,
"cbvshnut  ","P",08/12/2004 13:15,1,1,1         ,2         ,"",0.017,<4>  ,0.028,<4>  ,0.0017,<4>  ,0.1091,<4>  C                   ,0.1108,<4>  ,29.2,<4>  ,
"cbvshnut  ","P",09/09/2004 13:58,1,1,1         ,1         ,"",0.0138,<4>  ,0.0536,<4>  ,0.0019,<4>  ,0.1226,<4>  C                   ,0.1245,<4>  ,1.9,<4>  ,
"cbvshnut  ","P",09/09/2004 13:58,1,1,1         ,2         ,"",0.0144,<4>  ,0.0576,<4>  ,0.0022,<4>  ,0.1249,<4>  C                   ,0.1271,<4>  ,2.2,<4>  ,
"cbvshnut  ","P",10/06/2004 11:25,1,1,1         ,1         ,"",0.0166,<4>  ,0.0125,<4>  ,2.0E-4,<4>  B                   ,"",<4>  C - B               ,0.2243,<4>  ,2.4,<4>  ,
"cbvshnut  ","P",10/06/2004 11:25,1,1,1         ,2         ,"",0.0179,<4>  ,0.0183,<4>  ,8.0E-4,<4>  ,0.2205,<4>  C                   ,0.2213,<4>  ,2.6,<4>  ,
"cbvshnut  ","P",11/22/2004 12:45,1,1,1         ,1         ,"",0.0095,<4>  ,0.0054,<4>  B                   ,0.0020,<4>  ,0.2907,<4>  C                   ,0.2927,<4>  ,1.2,<4>  ,
"cbvshnut  ","P",11/22/2004 12:45,1,1,1         ,2         ,"",0.0080,<4>  ,0.0082,<4>  ,0.0015,<4>  ,0.2999,<4>  C                   ,0.3014,<4>  ,2.2,<4>  ,
"cbvshnut  ","P",12/07/2004 13:12,1,1,1         ,1         ,"",0.0128,<4>  ,0.0174,<4>  ,0.0027,<4>  ,0.3062,<4>  C                   ,0.3089,<4>  ,2.1,<4>  ,
"cbvshnut  ","P",12/07/2004 13:14,1,1,1         ,2         ,"",0.0148,<4>  ,0.0348,<4>  ,0.0039,<4>  ,0.3258,<4>  C                   ,0.3297,<4>  ,2.1,<4>  ,

