"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbvtcnut  ","P",01/11/2018 11:38,0,1,1         ,1         ,"{PNP} {TSE} {WH0} {SSW} {WS0} {CSP}",0.0393,<1> [SCC] ,0.1436,<0>  ,0.0028,<0>  ,0.1849,<0>  ,0.1877,<0>  ,1.91,<0>  ,
"cbvtcnut  ","P",01/11/2018 11:39,0,1,1         ,2         ,"{PNP} {TSE} {WH0} {SSW} {WS0} {CSP}",0.0368,<1> [SCC] ,0.1345,<0>  ,0.0022,<0>  ,0.1485,<0>  ,0.1507,<0>  ,1.99,<0>  ,
"cbvtcnut  ","P",01/11/2018 13:00,0,1,2         ,1         ,"",0.0334,<1> [SCC] ,0.1771,<0>  ,0.0028,<0>  ,0.1866,<0>  ,0.1894,<0>  ,1.97,<0>  ,
"cbvtcnut  ","P",01/11/2018 15:30,0,1,2         ,1         ,"",0.0334,<0>  ,0.0817,<0>  ,0.0011,<0>  ,0.052,<0>  ,0.0531,<0>  ,8.56,<0>  ,
"cbvtcnut  ","P",01/11/2018 18:00,0,1,2         ,1         ,"",0.0301,<0>  ,0.0632,<0>  ,5.0E-4,<0>  ,0.0136,<0>  ,0.0141,<0>  ,11.86,<0>  ,
"cbvtcnut  ","P",01/11/2018 20:30,0,1,2         ,1         ,"",0.0301,<0>  ,0.0651,<0>  ,8.0E-4,<0>  ,0.023,<0>  ,0.0238,<0>  ,8.65,<0>  ,
"cbvtcnut  ","P",01/11/2018 23:00,0,1,2         ,1         ,"",0.0351,<0>  ,0.1281,<0>  ,0.0020,<0>  ,0.128,<0>  ,0.13,<0>  ,5.47,<0>  ,
"cbvtcnut  ","P",01/12/2018 1:30,0,1,2         ,1         ,"",0.0418,<1> [SCC] ,0.1669,<0>  ,0.0028,<0>  ,0.1642,<0>  ,0.167,<0>  ,2.34,<0>  ,
"cbvtcnut  ","P",01/12/2018 4:00,0,1,2         ,1         ,"",0.0368,<0>  ,0.0847,<0>  ,8.0E-4,<0>  ,0.028,<0>  ,0.0288,<0>  ,17.46,<0>  ,
"cbvtcnut  ","P",01/12/2018 6:30,0,1,2         ,1         ,"",0.0368,<0>  ,0.0515,<0>  ,5.0E-4,<0>  ,0.0115,<0>  ,0.012,<0>  ,24.52,<0>  ,
"cbvtcnut  ","P",01/12/2018 9:00,0,1,2         ,1         ,"",0.0318,<0>  ,0.093,<0>  ,8.0E-4,<0>  ,0.0188,<0>  ,0.0196,<0>  ,22.0,<0>  ,
"cbvtcnut  ","P",01/12/2018 11:30,0,1,2         ,1         ,"",0.0535,<0>  ,0.1352,<0>  ,0.0017,<0>  ,0.0903,<0>  ,0.092,<0>  ,7.37,<0>  ,
"cbvtcnut  ","P",01/12/2018 14:00,0,1,2         ,1         ,"",0.0535,<1> [SCC] ,0.1866,<0>  ,0.0022,<0>  ,0.1487,<0>  ,0.1509,<0>  ,2.3,<0>  ,
"cbvtcnut  ","P",02/08/2018 0:00,0,1,2         ,1         ,"",0.0454,<1> [SCC] ,0.0916,<0>  ,0.0070,<0>  ,0.0603,<0>  ,0.0673,<0>  ,4.81,<0>  ,
"cbvtcnut  ","P",02/08/2018 9:34,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {WS0}",0.0198,<1> [SCC] ,0.0114,<0>  ,0.0010,<0>  ,0.0406,<0>  ,0.0416,<0>  ,32.84,<0>  ,
"cbvtcnut  ","P",02/08/2018 9:35,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {WS0}",0.0198,<0>  ,0.0144,<0>  ,0.0010,<0>  ,0.0308,<0>  ,0.0318,<0>  ,32.73,<0>  ,
"cbvtcnut  ","P",02/08/2018 11:30,0,1,2         ,1         ,"",0.0262,<0>  ,0.0353,<0>  ,0.0067,<0>  ,0.0542,<0>  ,0.0609,<0>  ,20.37,<0>  ,
"cbvtcnut  ","P",02/08/2018 14:00,0,1,2         ,1         ,"",0.0166,<0>  ,0.0126,<0>  ,0.0070,<0>  ,0.0781,<0>  ,0.0851,<0>  ,28.24,<0>  ,
"cbvtcnut  ","P",02/08/2018 16:30,0,1,2         ,1         ,"",0.0166,<0>  ,0.0242,<0>  ,0.0067,<0>  ,0.0491,<0>  ,0.0558,<0>  ,29.16,<0>  ,
"cbvtcnut  ","P",02/08/2018 19:00,0,1,2         ,1         ,"",0.0166,<0>  ,0.0236,<0>  ,0.0070,<0>  ,0.1048,<0>  ,0.1118,<0>  ,23.94,<0>  ,
"cbvtcnut  ","P",02/08/2018 21:30,0,1,2         ,1         ,"",0.0374,<1> [SCC] ,0.0555,<0>  ,0.0067,<0>  ,0.1562,<0>  ,0.1629,<0>  ,9.5,<0>  ,
"cbvtcnut  ","P",02/09/2018 2:30,0,1,2         ,1         ,"",0.0166,<0>  ,0.0194,<0>  ,0.0070,<0>  ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,43.31,<0>  ,
"cbvtcnut  ","P",02/09/2018 5:00,0,1,2         ,1         ,"",0.015,<0>  ,0.0196,<0>  ,0.0070,<0>  ,"",<-4> [SCB] ,0.0031,<-4> [SBL] ,34.68,<0>  ,
"cbvtcnut  ","P",02/09/2018 7:30,0,1,2         ,1         ,"",0.0166,<0>  ,0.0163,<0>  ,0.0070,<1> [SCC] ,-0.0013,<-3> [SNV] ,0.0057,<1> [SCC] ,44.02,<0>  ,
"cbvtcnut  ","P",02/09/2018 10:00,0,1,2         ,1         ,"",0.031,<0>  ,0.0451,<0>  ,0.0070,<0>  ,0.0844,<0>  ,0.0914,<0>  ,21.51,<0>  ,
"cbvtcnut  ","P",02/09/2018 12:30,0,1,2         ,1         ,"",0.0374,<1> [SCC] ,0.069,<0>  ,0.0070,<0>  ,0.111,<0>  ,0.118,<0>  ,12.49,<0>  ,
"cbvtcnut  ","P",03/09/2018 9:45,0,1,2         ,1         ,"",0.0133,<0>  ,0.0578,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0455,<0>  ,4.07,<0>  ,
"cbvtcnut  ","P",03/09/2018 10:26,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {NW} {WS1}",0.015,<0>  ,0.0545,<0>  ,6.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0435,<0>  ,2.45,<0>  ,
