"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"owcolnut  ","P",03/08/2004 9:15,1,1,1         ,1         ,"",0.0113,<4>  ,0.049,<4>  ,0.0114,<4>  ,3.66,<4>  C                   ,3.671,<4>  ,8.9,<4>  ,
"owcolnut  ","P",03/08/2004 9:15,1,1,1         ,2         ,"",0.0115,<4>  ,0.046,<4>  ,0.012,<4>  ,3.804,<4>  C                   ,3.816,<4>  ,8.01,<4>  ,
"owcolnut  ","P",03/29/2004 9:30,1,1,1         ,1         ,"",0.0093,<4>  ,0.05,<4>  ,0.0188,<4>  ,3.405,<4>  C                   ,3.424,<4>  ,2.14,<4>  ,
"owcolnut  ","P",03/29/2004 9:30,1,1,1         ,2         ,"",0.0098,<4>  ,0.047,<4>  ,0.0189,<4>  ,3.433,<4>  C                   ,3.452,<4>  ,2.14,<4>  ,
"owcolnut  ","P",04/19/2004 8:00,1,1,1         ,1         ,"",0.0139,<4>  ,0.149,<4>  ,0.0256,<4>  ,2.461,<4>  C                   ,2.487,<4>  ,16.02,<4>  ,
"owcolnut  ","P",04/19/2004 8:00,1,1,1         ,2         ,"",0.0147,<4>  ,0.149,<4>  ,0.0243,<4>  ,2.51,<4>  C                   ,2.534,<4>  ,16.02,<4>  ,
"owcolnut  ","P",05/10/2004 8:30,1,1,1         ,1         ,"",0.0099,<4>  ,0.168,<4>  ,0.0378,<4>  ,2.435,<4>  C                   ,2.473,<4>  ,18.69,<4>  ,
"owcolnut  ","P",05/10/2004 8:30,1,1,1         ,2         ,"",0.0093,<4>  ,0.167,<4>  ,0.039,<4>  ,2.45,<4>  C                   ,2.489,<4>  ,18.69,<4>  ,
"owcolnut  ","P",06/01/2004 8:30,1,1,1         ,1         ,"",0.0292,<4>  ,0.121,<4>  ,0.0438,<4>  ,4.045,<4>  C                   ,4.089,<4>  ,8.01,<4>  ,
"owcolnut  ","P",06/01/2004 8:30,1,1,1         ,2         ,"",0.0294,<4>  ,0.098,<4>  ,0.0426,<4>  ,4.024,<4>  C                   ,4.067,<4>  ,8.01,<4>  ,
"owcolnut  ","P",06/21/2004 8:45,1,1,1         ,1         ,"",0.0157,<4>  ,0.118,<4>  ,0.0665,<4>  ,3.943,<4>  C                   ,4.01,<4>  ,9.15,<4>  ,
"owcolnut  ","P",06/21/2004 8:45,1,1,1         ,2         ,"",0.0156,<4>  ,0.121,<4>  ,0.067,<4>  ,3.154,<4>  C                   ,3.221,<4>  ,8.39,<4>  ,
"owcolnut  ","P",07/06/2004 8:45,1,1,1         ,1         ,"",0.0044,<4>  ,0.021,<4>  ,0.01,<4>  ,0.607,<4>  C                   ,0.617,<4>  ,30.97,<4>  ,
"owcolnut  ","P",07/06/2004 8:45,1,1,1         ,2         ,"",0.0045,<4>  ,0.017,<4>  ,0.011,<4>  ,0.047,<4>  C                   ,0.058,<4>  ,31.51,<4>  ,
"owcolnut  ","P",07/26/2004 9:00,1,1,1         ,1         ,"",0.0124,<4>  ,0.108,<4>  ,0.027,<4>  ,0.302,<4>  C                   ,0.329,<4>  ,59.27,<4>  ,
"owcolnut  ","P",07/26/2004 9:00,1,1,1         ,2         ,"",0.0119,<4>  ,0.113,<4>  ,0.0265,<4>  ,0.274,<4>  C                   ,0.301,<4>  ,46.06,<4>  ,
"owcolnut  ","P",08/09/2004 8:15,1,1,1         ,1         ,"",0.0174,<4>  ,0.125,<4>  ,0.048,<4>  ,0.74,<4>  C                   ,0.788,<4>  ,8.68,<4>  ,
"owcolnut  ","P",08/09/2004 8:15,1,1,1         ,2         ,"",0.0159,<4>  ,0.122,<4>  ,0.0482,<4>  ,1.245,<4>  C                   ,1.294,<4>  ,10.01,<4>  ,
"owcolnut  ","P",08/23/2004 8:15,1,1,1         ,1         ,"",0.0246,<4>  ,0.108,<4>  ,0.0157,<4>  ,0.891,<4>  C                   ,0.907,<4>  ,6.01,<4>  ,
"owcolnut  ","P",08/23/2004 8:15,1,1,1         ,2         ,"",0.0253,<4>  ,0.109,<4>  ,0.0216,<4>  ,0.914,<4>  C                   ,0.936,<4>  ,6.01,<4>  ,
"owcolnut  ","P",09/07/2004 8:45,1,1,1         ,1         ,"",0.0161,<4>  ,0.04,<4>  ,0.0051,<4>  ,0.059,<4>  C                   ,0.064,<4>  ,16.02,<4>  ,
"owcolnut  ","P",09/07/2004 8:45,1,1,1         ,2         ,"",0.0151,<4>  ,0.037,<4>  ,0.0047,<4>  ,0.052,<4>  C                   ,0.057,<4>  ,15.35,<4>  ,
"owcolnut  ","P",09/20/2004 8:30,1,1,1         ,1         ,"",0.0231,<4>  ,0.135,<4>  ,0.0133,<4>  ,0.056,<4>  C                   ,0.07,<4>  ,13.68,<4>  ,
"owcolnut  ","P",09/20/2004 8:30,1,1,1         ,2         ,"",0.0232,<4>  ,0.134,<4>  ,0.0132,<4>  ,0.054,<4>  C                   ,0.067,<4>  ,12.68,<4>  ,
"owcolnut  ","P",10/05/2004 8:15,1,1,1         ,1         ,"",0.0253,<4>  ,0.098,<4>  ,0.0082,<4>  ,0.031,<4>  C                   ,0.039,<4>  ,3.34,<4>  ,
"owcolnut  ","P",10/05/2004 8:15,1,1,1         ,2         ,"",0.0265,<4>  ,0.097,<4>  ,0.0083,<4>  ,0.034,<4>  C                   ,0.043,<4>  ,3.34,<4>  ,
"owcolnut  ","P",10/25/2004 7:45,1,1,1         ,1         ,"",0.0044,<4>  ,0.048,<4>  ,0.0118,<4>  ,0.052,<4>  C                   ,0.064,<4>  ,18.36,<4>  ,
"owcolnut  ","P",10/25/2004 7:45,1,1,1         ,2         ,"",0.0081,<4>  ,0.052,<4>  ,0.0118,<4>  ,0.054,<4>  C                   ,0.066,<4>  ,18.36,<4>  ,
"owcolnut  ","P",11/08/2004 10:30,1,1,1         ,1         ,"",0.0254,<4>  ,0.222,<4>  ,0.047,<4>  ,3.61,<4>  C                   ,3.657,<4>  ,4.45,<4>  ,
"owcolnut  ","P",11/08/2004 10:30,1,1,1         ,2         ,"",0.0257,<4>  ,0.226,<4>  ,0.0484,<4>  ,3.502,<4>  C                   ,3.55,<4>  ,5.34,<4>  ,
"owcolnut  ","P",11/29/2004 10:15,1,1,1         ,1         ,"",0.0215,<4>  ,0.105,<4>  ,0.0157,<4>  ,5.982,<4>  C                   ,5.998,<4>  ,3.2,<4>  ,
"owcolnut  ","P",11/29/2004 10:15,1,1,1         ,2         ,"",0.0212,<4>  ,0.106,<4>  ,0.0156,<4>  ,6.014,<4>  C                   ,6.03,<4>  ,2.67,<4>  ,
"owcolnut  ","P",12/16/2004 0:00,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  ,"",<4>  M                   ,"",<4>  C - M               ,"",<4>  M                   ,"",<4>  M                   ,
"owcolnut  ","P",12/16/2004 0:00,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  ,"",<4>  M                   ,"",<4>  C - M               ,"",<4>  M                   ,"",<4>  M                   ,

