"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"owcsuwq   ","P",03/24/2003 8:45,1,0,"",4.7,<4> ,0.66,<4> ,0.3,<4> ,98.9,<4> ,12.7,<4> ,"",<4> ,"","","",<-1> ,"","",7.8,<4> ,20,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 9:00,1,0,"",4.8,<4> ,0.66,<4> ,0.3,<4> ,98.5,<4> ,12.6,<4> ,"",<4> ,"","","",<-1> ,"","",7.8,<4> ,18,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 9:15,1,0,"",4.9,<4> ,0.66,<4> ,0.3,<4> ,98.9,<4> ,12.7,<4> ,"",<4> ,"","","",<-1> ,"","",7.8,<4> ,21,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 9:30,1,0,"",4.9,<4> ,0.66,<4> ,0.3,<4> ,99.7,<4> ,12.7,<4> ,"",<4> ,"","","",<-1> ,"","",7.8,<4> ,19,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 9:45,1,0,"",5.0,<4> ,0.65,<4> ,0.3,<4> ,100.2,<4> ,12.8,<4> ,"",<4> ,"","","",<-1> ,"","",7.9,<4> ,19,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 10:00,1,0,"",5.1,<4> ,0.66,<4> ,0.3,<4> ,100.6,<4> ,12.8,<4> ,"",<4> ,"","","",<-1> ,"","",7.8,<4> ,17,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 10:15,1,0,"",5.3,<4> ,0.66,<4> ,0.3,<4> ,101.6,<4> ,12.9,<4> ,"",<4> ,"","","",<-1> ,"","",7.9,<4> ,16,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 10:30,1,0,"",5.4,<4> ,0.66,<4> ,0.3,<4> ,102.3,<4> ,12.9,<4> ,"",<4> ,"","","",<-1> ,"","",7.9,<4> ,17,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 10:45,1,0,"",5.6,<4> ,0.66,<4> ,0.3,<4> ,103.2,<4> ,13.0,<4> ,"",<4> ,"","","",<-1> ,"","",7.9,<4> ,15,<4> ,"",<-1> ,
"owcsuwq   ","P",03/24/2003 11:00,1,0,"",5.8,<4> ,0.66,<4> ,0.3,<4> ,104.4,<4> ,13.0,<4> ,"",<4> ,"","","",<-1> ,"","",7.9,<4> ,15,<4> ,"",<-1> ,
