"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"owcwmwq   ","P",04/25/1996 9:15,1,0,"",13.0,<4> ,0.41,<4> ,0.2,<4> ,94.1,<4> ,9.9,<4> ,0.26,<4> ,"","","",<-1> ,"","",8.0,<4> ,"",<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 9:30,1,0,"",13.4,<4> ,0.41,<4> ,0.2,<4> ,95.9,<4> ,10.0,<4> ,0.24,<4> ,"","","",<-1> ,"","",8.0,<4> ,144,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 9:45,1,0,"",13.7,<4> ,0.41,<4> ,0.2,<4> ,95.9,<4> ,9.9,<4> ,0.23,<4> ,"","","",<-1> ,"","",8.0,<4> ,119,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 10:00,1,0,"",12.9,<4> ,0.43,<4> ,0.2,<4> ,90.6,<4> ,9.6,<4> ,0.26,<4> ,"","","",<-1> ,"","",7.8,<4> ,180,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 10:15,1,0,"",14.3,<4> ,0.42,<4> ,0.2,<4> ,94.6,<4> ,9.7,<4> ,0.24,<4> ,"","","",<-1> ,"","",7.9,<4> ,146,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 10:30,1,0,"",14.6,<4> ,0.43,<4> ,0.2,<4> ,94.2,<4> ,9.6,<4> ,0.24,<4> ,"","","",<-1> ,"","",7.9,<4> ,178,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 10:45,1,0,"",14.8,<4> ,0.43,<4> ,0.2,<4> ,93.4,<4> ,9.4,<4> ,0.25,<4> ,"","","",<-1> ,"","",7.9,<4> ,151,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 11:00,1,0,"",15.7,<4> ,0.43,<4> ,0.2,<4> ,93.9,<4> ,9.3,<4> ,0.24,<4> ,"","","",<-1> ,"","",7.9,<4> ,148,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 11:15,1,0,"",15.2,<4> ,0.43,<4> ,0.2,<4> ,92.4,<4> ,9.3,<4> ,0.23,<4> ,"","","",<-1> ,"","",7.9,<4> ,129,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 11:30,1,0,"",15.5,<4> ,0.43,<4> ,0.2,<4> ,92.0,<4> ,9.2,<4> ,0.22,<4> ,"","","",<-1> ,"","",7.9,<4> ,200,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 11:45,1,0,"",15.3,<4> ,0.43,<4> ,0.2,<4> ,88.8,<4> ,8.9,<4> ,0.24,<4> ,"","","",<-1> ,"","",7.9,<4> ,169,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 12:00,1,0,"",15.7,<4> ,0.43,<4> ,0.2,<4> ,93.8,<4> ,9.3,<4> ,0.23,<4> ,"","","",<-1> ,"","",8.1,<4> ,123,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 12:15,1,0,"",15.9,<4> ,0.43,<4> ,0.2,<4> ,93.0,<4> ,9.2,<4> ,0.22,<4> ,"","","",<-1> ,"","",8.1,<4> ,111,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 12:30,1,0,"",16.1,<4> ,0.44,<4> ,0.2,<4> ,94.4,<4> ,9.3,<4> ,0.20,<4> ,"","","",<-1> ,"","",8.1,<4> ,189,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 12:45,1,0,"",16.4,<4> ,0.43,<4> ,0.2,<4> ,99.2,<4> ,9.7,<4> ,0.19,<4> ,"","","",<-1> ,"","",8.3,<4> ,112,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 13:00,1,0,"",16.8,<4> ,0.43,<4> ,0.2,<4> ,99.9,<4> ,9.7,<4> ,0.18,<4> ,"","","",<-1> ,"","",8.3,<4> ,146,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 13:15,1,0,"",17.0,<4> ,0.43,<4> ,0.2,<4> ,95.7,<4> ,9.2,<4> ,0.18,<4> ,"","","",<-1> ,"","",8.3,<4> ,137,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 13:30,1,0,"",17.9,<4> ,0.44,<4> ,0.2,<4> ,93.4,<4> ,8.9,<4> ,0.16,<4> ,"","","",<-1> ,"","",8.2,<4> ,172,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 13:45,1,0,"",18.1,<4> ,0.44,<4> ,0.2,<4> ,90.4,<4> ,8.5,<4> ,0.15,<4> ,"","","",<-1> ,"","",8.1,<4> ,154,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 14:00,1,0,"",19.2,<4> ,0.44,<4> ,0.2,<4> ,87.0,<4> ,8.0,<4> ,0.14,<4> ,"","","",<-1> ,"","",8.1,<4> ,190,<4> ,"",<-1> ,
"owcwmwq   ","P",04/25/1996 14:15,1,0,"",19.2,<4> ,0.45,<4> ,0.2,<4> ,83.5,<4> ,7.7,<4> ,0.12,<4> ,"","","",<-1> ,"","",8.1,<4> ,186,<4> ,"",<-1> ,
